State,State Code,Year,Year Code,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population,Crude Rate
Alabama,01,2015,2015,Methadone,T40.3,13,4858979,Unreliable
Alabama,01,2015,2015,Other synthetic narcotics,T40.4,15,4858979,Unreliable
Alabama,01,2016,2016,Heroin,T40.1,25,4863300,0.5
Alabama,01,2016,2016,Other opioids,T40.2,40,4863300,0.8
Alabama,01,2016,2016,Methadone,T40.3,11,4863300,Unreliable
Alabama,01,2016,2016,Other synthetic narcotics,T40.4,36,4863300,0.7
Alabama,01,2017,2017,Heroin,T40.1,37,4874747,0.8
Alabama,01,2017,2017,Other opioids,T40.2,92,4874747,1.9
Alabama,01,2017,2017,Methadone,T40.3,17,4874747,Unreliable
Alabama,01,2017,2017,Other synthetic narcotics,T40.4,81,4874747,1.7
Alabama,01,2018,2018,Heroin,T40.1,50,4887871,1
Alabama,01,2018,2018,Other opioids,T40.2,58,4887871,1.2
Alabama,01,2018,2018,Methadone,T40.3,15,4887871,Unreliable
Alabama,01,2018,2018,Other synthetic narcotics,T40.4,48,4887871,1
Alaska,02,2008,2008,Other opioids,T40.2,29,687455,4.2
Alaska,02,2008,2008,Methadone,T40.3,21,687455,3.1
Alaska,02,2009,2009,Other opioids,T40.2,47,698895,6.7
Alaska,02,2009,2009,Methadone,T40.3,16,698895,Unreliable
Alaska,02,2009,2009,Other synthetic narcotics,T40.4,20,698895,2.9
Alaska,02,2010,2010,Other opioids,T40.2,28,710231,3.9
Alaska,02,2010,2010,Methadone,T40.3,17,710231,Unreliable
Alaska,02,2011,2011,Other opioids,T40.2,23,722718,3.2
Alaska,02,2012,2012,Heroin,T40.1,10,731449,Unreliable
Alaska,02,2012,2012,Other opioids,T40.2,29,731449,4
Alaska,02,2013,2013,Heroin,T40.1,13,735132,Unreliable
Alaska,02,2013,2013,Other opioids,T40.2,23,735132,3.1
Alaska,02,2014,2014,Heroin,T40.1,13,736732,Unreliable
Alaska,02,2014,2014,Other opioids,T40.2,20,736732,2.7
Alaska,02,2015,2015,Heroin,T40.1,18,738432,Unreliable
Alaska,02,2015,2015,Other opioids,T40.2,26,738432,3.5
Alaska,02,2016,2016,Heroin,T40.1,26,741894,3.5
Alaska,02,2016,2016,Other opioids,T40.2,27,741894,3.6
Alaska,02,2016,2016,Methadone,T40.3,10,741894,Unreliable
Alaska,02,2016,2016,Other and unspecified narcotics,T40.6,11,741894,Unreliable
Alaska,02,2017,2017,Heroin,T40.1,22,739795,3
Alaska,02,2017,2017,Other opioids,T40.2,35,739795,4.7
Alaska,02,2017,2017,Other synthetic narcotics,T40.4,23,739795,3.1
Alaska,02,2017,2017,Other and unspecified narcotics,T40.6,19,739795,Unreliable
Alaska,02,2018,2018,Heroin,T40.1,20,737438,2.7
Alaska,02,2018,2018,Other opioids,T40.2,24,737438,3.3
Alaska,02,2018,2018,Other and unspecified narcotics,T40.6,19,737438,Unreliable
Arizona,04,1999,1999,Other opioids,T40.2,20,5023823,0.4
Arizona,04,1999,1999,Other and unspecified narcotics,T40.6,17,5023823,Unreliable
Arizona,04,2000,2000,Other opioids,T40.2,22,5130632,0.4
Arizona,04,2000,2000,Other and unspecified narcotics,T40.6,23,5130632,0.4
Arizona,04,2001,2001,Other opioids,T40.2,29,5273477,0.5
Arizona,04,2001,2001,Other and unspecified narcotics,T40.6,30,5273477,0.6
Arizona,04,2002,2002,Other opioids,T40.2,57,5396255,1.1
Arizona,04,2002,2002,Methadone,T40.3,19,5396255,Unreliable
Arizona,04,2002,2002,Other synthetic narcotics,T40.4,11,5396255,Unreliable
Arizona,04,2002,2002,Other and unspecified narcotics,T40.6,29,5396255,0.5
Arizona,04,2003,2003,Heroin,T40.1,13,5510364,Unreliable
Arizona,04,2003,2003,Other opioids,T40.2,52,5510364,0.9
Arizona,04,2003,2003,Methadone,T40.3,31,5510364,0.6
Arizona,04,2003,2003,Other and unspecified narcotics,T40.6,17,5510364,Unreliable
Arizona,04,2004,2004,Other opioids,T40.2,43,5652404,0.8
Arizona,04,2004,2004,Methadone,T40.3,14,5652404,Unreliable
Arizona,04,2004,2004,Other and unspecified narcotics,T40.6,22,5652404,0.4
Arizona,04,2005,2005,Other opioids,T40.2,50,5839077,0.9
Arizona,04,2005,2005,Methadone,T40.3,19,5839077,Unreliable
Arizona,04,2005,2005,Other synthetic narcotics,T40.4,10,5839077,Unreliable
Arizona,04,2005,2005,Other and unspecified narcotics,T40.6,14,5839077,Unreliable
Arizona,04,2006,2006,Heroin,T40.1,12,6029141,Unreliable
Arizona,04,2006,2006,Other opioids,T40.2,56,6029141,0.9
Arizona,04,2006,2006,Methadone,T40.3,18,6029141,Unreliable
Arizona,04,2006,2006,Other and unspecified narcotics,T40.6,27,6029141,0.4
Arizona,04,2007,2007,Heroin,T40.1,12,6167681,Unreliable
Arizona,04,2007,2007,Other opioids,T40.2,85,6167681,1.4
Arizona,04,2007,2007,Methadone,T40.3,20,6167681,0.3
Arizona,04,2007,2007,Other synthetic narcotics,T40.4,18,6167681,Unreliable
Arizona,04,2007,2007,Other and unspecified narcotics,T40.6,25,6167681,0.4
Arizona,04,2008,2008,Heroin,T40.1,14,6280362,Unreliable
Arizona,04,2008,2008,Other opioids,T40.2,111,6280362,1.8
Arizona,04,2008,2008,Methadone,T40.3,46,6280362,0.7
Arizona,04,2008,2008,Other synthetic narcotics,T40.4,24,6280362,0.4
Arizona,04,2008,2008,Other and unspecified narcotics,T40.6,24,6280362,0.4
Arizona,04,2009,2009,Heroin,T40.1,29,6343154,0.5
Arizona,04,2009,2009,Other opioids,T40.2,157,6343154,2.5
Arizona,04,2009,2009,Methadone,T40.3,44,6343154,0.7
Arizona,04,2009,2009,Other synthetic narcotics,T40.4,30,6343154,0.5
Arizona,04,2009,2009,Other and unspecified narcotics,T40.6,33,6343154,0.5
Arizona,04,2010,2010,Heroin,T40.1,20,6392017,0.3
Arizona,04,2010,2010,Other opioids,T40.2,178,6392017,2.8
Arizona,04,2010,2010,Methadone,T40.3,49,6392017,0.8
Arizona,04,2010,2010,Other synthetic narcotics,T40.4,38,6392017,0.6
Arizona,04,2010,2010,Other and unspecified narcotics,T40.6,48,6392017,0.8
Arizona,04,2011,2011,Heroin,T40.1,36,6482505,0.6
Arizona,04,2011,2011,Other opioids,T40.2,157,6482505,2.4
Arizona,04,2011,2011,Methadone,T40.3,23,6482505,0.4
Arizona,04,2011,2011,Other synthetic narcotics,T40.4,19,6482505,Unreliable
Arizona,04,2011,2011,Other and unspecified narcotics,T40.6,22,6482505,0.3
Arizona,04,2012,2012,Heroin,T40.1,29,6553255,0.4
Arizona,04,2012,2012,Other opioids,T40.2,163,6553255,2.5
Arizona,04,2012,2012,Methadone,T40.3,22,6553255,0.3
Arizona,04,2012,2012,Other synthetic narcotics,T40.4,14,6553255,Unreliable
Arizona,04,2012,2012,Other and unspecified narcotics,T40.6,17,6553255,Unreliable
Arizona,04,2013,2013,Heroin,T40.1,46,6626624,0.7
Arizona,04,2013,2013,Other opioids,T40.2,125,6626624,1.9
Arizona,04,2013,2013,Methadone,T40.3,24,6626624,0.4
Arizona,04,2013,2013,Other synthetic narcotics,T40.4,24,6626624,0.4
Arizona,04,2013,2013,Other and unspecified narcotics,T40.6,18,6626624,Unreliable
Arizona,04,2014,2014,Heroin,T40.1,59,6731484,0.9
Arizona,04,2014,2014,Other opioids,T40.2,158,6731484,2.3
Arizona,04,2014,2014,Methadone,T40.3,25,6731484,0.4
Arizona,04,2014,2014,Other synthetic narcotics,T40.4,35,6731484,0.5
Arizona,04,2014,2014,Other and unspecified narcotics,T40.6,21,6731484,0.3
Arizona,04,2015,2015,Heroin,T40.1,106,6828065,1.6
Arizona,04,2015,2015,Other opioids,T40.2,166,6828065,2.4
Arizona,04,2015,2015,Methadone,T40.3,43,6828065,0.6
Arizona,04,2015,2015,Other synthetic narcotics,T40.4,38,6828065,0.6
Arizona,04,2015,2015,Other and unspecified narcotics,T40.6,26,6828065,0.4
Arizona,04,2016,2016,Heroin,T40.1,170,6931071,2.5
Arizona,04,2016,2016,Other opioids,T40.2,202,6931071,2.9
Arizona,04,2016,2016,Methadone,T40.3,39,6931071,0.6
Arizona,04,2016,2016,Other synthetic narcotics,T40.4,62,6931071,0.9
Arizona,04,2016,2016,Other and unspecified narcotics,T40.6,24,6931071,0.3
Arizona,04,2017,2017,Heroin,T40.1,194,7016270,2.8
Arizona,04,2017,2017,Other opioids,T40.2,224,7016270,3.2
Arizona,04,2017,2017,Methadone,T40.3,44,7016270,0.6
Arizona,04,2017,2017,Other synthetic narcotics,T40.4,141,7016270,2
Arizona,04,2017,2017,Other and unspecified narcotics,T40.6,26,7016270,0.4
Arizona,04,2018,2018,Heroin,T40.1,211,7171646,2.9
Arizona,04,2018,2018,Other opioids,T40.2,194,7171646,2.7
Arizona,04,2018,2018,Methadone,T40.3,36,7171646,0.5
Arizona,04,2018,2018,Other synthetic narcotics,T40.4,231,7171646,3.2
Arizona,04,2018,2018,Other and unspecified narcotics,T40.6,17,7171646,Unreliable
Arkansas,05,2002,2002,Other opioids,T40.2,30,2705927,1.1
Arkansas,05,2002,2002,Methadone,T40.3,23,2705927,0.8
Arkansas,05,2002,2002,Other synthetic narcotics,T40.4,18,2705927,Unreliable
Arkansas,05,2003,2003,Other opioids,T40.2,34,2724816,1.2
Arkansas,05,2003,2003,Methadone,T40.3,20,2724816,0.7
Arkansas,05,2003,2003,Other synthetic narcotics,T40.4,21,2724816,0.8
Arkansas,05,2004,2004,Other opioids,T40.2,40,2749686,1.5
Arkansas,05,2004,2004,Methadone,T40.3,36,2749686,1.3
Arkansas,05,2004,2004,Other synthetic narcotics,T40.4,20,2749686,0.7
Arkansas,05,2005,2005,Other opioids,T40.2,44,2781097,1.6
Arkansas,05,2005,2005,Methadone,T40.3,38,2781097,1.4
Arkansas,05,2005,2005,Other synthetic narcotics,T40.4,19,2781097,Unreliable
Arkansas,05,2006,2006,Other opioids,T40.2,55,2821761,1.9
Arkansas,05,2006,2006,Methadone,T40.3,55,2821761,1.9
Arkansas,05,2006,2006,Other synthetic narcotics,T40.4,23,2821761,0.8
Arkansas,05,2007,2007,Other opioids,T40.2,69,2848650,2.4
Arkansas,05,2007,2007,Methadone,T40.3,43,2848650,1.5
Arkansas,05,2007,2007,Other synthetic narcotics,T40.4,23,2848650,0.8
Arkansas,05,2008,2008,Other opioids,T40.2,95,2874554,3.3
Arkansas,05,2008,2008,Methadone,T40.3,66,2874554,2.3
Arkansas,05,2008,2008,Other synthetic narcotics,T40.4,31,2874554,1.1
Arkansas,05,2009,2009,Other opioids,T40.2,108,2896843,3.7
Arkansas,05,2009,2009,Methadone,T40.3,57,2896843,2
Arkansas,05,2009,2009,Other synthetic narcotics,T40.4,53,2896843,1.8
Arkansas,05,2010,2010,Other opioids,T40.2,89,2915918,3.1
Arkansas,05,2010,2010,Methadone,T40.3,40,2915918,1.4
Arkansas,05,2010,2010,Other synthetic narcotics,T40.4,44,2915918,1.5
Arkansas,05,2011,2011,Other opioids,T40.2,83,2937979,2.8
Arkansas,05,2011,2011,Methadone,T40.3,43,2937979,1.5
Arkansas,05,2011,2011,Other synthetic narcotics,T40.4,21,2937979,0.7
Arkansas,05,2012,2012,Other opioids,T40.2,90,2949131,3.1
Arkansas,05,2012,2012,Methadone,T40.3,31,2949131,1.1
Arkansas,05,2012,2012,Other synthetic narcotics,T40.4,17,2949131,Unreliable
Arkansas,05,2013,2013,Other opioids,T40.2,89,2959373,3
Arkansas,05,2013,2013,Methadone,T40.3,35,2959373,1.2
Arkansas,05,2013,2013,Other synthetic narcotics,T40.4,25,2959373,0.8
Arkansas,05,2014,2014,Other opioids,T40.2,83,2966369,2.8
Arkansas,05,2014,2014,Methadone,T40.3,21,2966369,0.7
Arkansas,05,2014,2014,Other synthetic narcotics,T40.4,17,2966369,Unreliable
Arkansas,05,2015,2015,Other opioids,T40.2,110,2978204,3.7
Arkansas,05,2015,2015,Methadone,T40.3,26,2978204,0.9
Arkansas,05,2015,2015,Other synthetic narcotics,T40.4,26,2978204,0.9
Arkansas,05,2015,2015,Other and unspecified narcotics,T40.6,15,2978204,Unreliable
Arkansas,05,2016,2016,Other opioids,T40.2,75,2988248,2.5
Arkansas,05,2016,2016,Methadone,T40.3,22,2988248,0.7
Arkansas,05,2016,2016,Other synthetic narcotics,T40.4,24,2988248,0.8
Arkansas,05,2017,2017,Other opioids,T40.2,90,3004279,3
Arkansas,05,2017,2017,Methadone,T40.3,13,3004279,Unreliable
Arkansas,05,2017,2017,Other synthetic narcotics,T40.4,40,3004279,1.3
Arkansas,05,2018,2018,Other opioids,T40.2,75,3013825,2.5
Arkansas,05,2018,2018,Methadone,T40.3,11,3013825,Unreliable
Arkansas,05,2018,2018,Other synthetic narcotics,T40.4,46,3013825,1.5
Arkansas,05,2018,2018,Other and unspecified narcotics,T40.6,14,3013825,Unreliable
California,06,1999,1999,Heroin,T40.1,95,33499204,0.3
California,06,1999,1999,Other opioids,T40.2,250,33499204,0.7
California,06,1999,1999,Methadone,T40.3,33,33499204,0.1
California,06,1999,1999,Other synthetic narcotics,T40.4,38,33499204,0.1
California,06,1999,1999,Other and unspecified narcotics,T40.6,54,33499204,0.2
California,06,2000,2000,Heroin,T40.1,36,33871648,0.1
California,06,2000,2000,Other opioids,T40.2,144,33871648,0.4
California,06,2000,2000,Methadone,T40.3,12,33871648,Unreliable
California,06,2000,2000,Other synthetic narcotics,T40.4,38,33871648,0.1
California,06,2000,2000,Other and unspecified narcotics,T40.6,41,33871648,0.1
California,06,2001,2001,Heroin,T40.1,21,34479458,0.1
California,06,2001,2001,Other opioids,T40.2,57,34479458,0.2
California,06,2001,2001,Methadone,T40.3,11,34479458,Unreliable
California,06,2001,2001,Other and unspecified narcotics,T40.6,21,34479458,0.1
California,06,2002,2002,Heroin,T40.1,39,34871843,0.1
California,06,2002,2002,Other opioids,T40.2,263,34871843,0.8
California,06,2002,2002,Methadone,T40.3,50,34871843,0.1
California,06,2002,2002,Other synthetic narcotics,T40.4,70,34871843,0.2
California,06,2002,2002,Other and unspecified narcotics,T40.6,50,34871843,0.1
California,06,2003,2003,Heroin,T40.1,43,35253159,0.1
California,06,2003,2003,Other opioids,T40.2,310,35253159,0.9
California,06,2003,2003,Methadone,T40.3,60,35253159,0.2
California,06,2003,2003,Other synthetic narcotics,T40.4,69,35253159,0.2
California,06,2003,2003,Other and unspecified narcotics,T40.6,51,35253159,0.1
California,06,2004,2004,Heroin,T40.1,47,35574576,0.1
California,06,2004,2004,Other opioids,T40.2,295,35574576,0.8
California,06,2004,2004,Methadone,T40.3,76,35574576,0.2
California,06,2004,2004,Other synthetic narcotics,T40.4,81,35574576,0.2
California,06,2004,2004,Other and unspecified narcotics,T40.6,47,35574576,0.1
California,06,2005,2005,Heroin,T40.1,34,35827943,0.1
California,06,2005,2005,Other opioids,T40.2,281,35827943,0.8
California,06,2005,2005,Methadone,T40.3,78,35827943,0.2
California,06,2005,2005,Other synthetic narcotics,T40.4,73,35827943,0.2
California,06,2005,2005,Other and unspecified narcotics,T40.6,73,35827943,0.2
California,06,2006,2006,Heroin,T40.1,38,36021202,0.1
California,06,2006,2006,Other opioids,T40.2,313,36021202,0.9
California,06,2006,2006,Methadone,T40.3,95,36021202,0.3
California,06,2006,2006,Other synthetic narcotics,T40.4,81,36021202,0.2
California,06,2006,2006,Other and unspecified narcotics,T40.6,69,36021202,0.2
California,06,2007,2007,Heroin,T40.1,41,36250311,0.1
California,06,2007,2007,Other opioids,T40.2,351,36250311,1
California,06,2007,2007,Methadone,T40.3,119,36250311,0.3
California,06,2007,2007,Other synthetic narcotics,T40.4,53,36250311,0.1
California,06,2007,2007,Other and unspecified narcotics,T40.6,46,36250311,0.1
California,06,2008,2008,Heroin,T40.1,44,36604337,0.1
California,06,2008,2008,Other opioids,T40.2,443,36604337,1.2
California,06,2008,2008,Methadone,T40.3,123,36604337,0.3
California,06,2008,2008,Other synthetic narcotics,T40.4,72,36604337,0.2
California,06,2008,2008,Other and unspecified narcotics,T40.6,52,36604337,0.1
California,06,2009,2009,Heroin,T40.1,69,36961229,0.2
California,06,2009,2009,Other opioids,T40.2,494,36961229,1.3
California,06,2009,2009,Methadone,T40.3,167,36961229,0.5
California,06,2009,2009,Other synthetic narcotics,T40.4,91,36961229,0.2
California,06,2009,2009,Other and unspecified narcotics,T40.6,35,36961229,0.1
California,06,2010,2010,Heroin,T40.1,60,37253956,0.2
California,06,2010,2010,Other opioids,T40.2,492,37253956,1.3
California,06,2010,2010,Methadone,T40.3,196,37253956,0.5
California,06,2010,2010,Other synthetic narcotics,T40.4,105,37253956,0.3
California,06,2010,2010,Other and unspecified narcotics,T40.6,42,37253956,0.1
California,06,2011,2011,Heroin,T40.1,95,37691912,0.3
California,06,2011,2011,Other opioids,T40.2,554,37691912,1.5
California,06,2011,2011,Methadone,T40.3,184,37691912,0.5
California,06,2011,2011,Other synthetic narcotics,T40.4,91,37691912,0.2
California,06,2011,2011,Other and unspecified narcotics,T40.6,47,37691912,0.1
California,06,2012,2012,Heroin,T40.1,117,38041430,0.3
California,06,2012,2012,Other opioids,T40.2,484,38041430,1.3
California,06,2012,2012,Methadone,T40.3,130,38041430,0.3
California,06,2012,2012,Other synthetic narcotics,T40.4,82,38041430,0.2
California,06,2012,2012,Other and unspecified narcotics,T40.6,39,38041430,0.1
California,06,2013,2013,Heroin,T40.1,173,38332521,0.5
California,06,2013,2013,Other opioids,T40.2,518,38332521,1.4
California,06,2013,2013,Methadone,T40.3,161,38332521,0.4
California,06,2013,2013,Other synthetic narcotics,T40.4,100,38332521,0.3
California,06,2013,2013,Other and unspecified narcotics,T40.6,67,38332521,0.2
California,06,2014,2014,Heroin,T40.1,232,38802500,0.6
California,06,2014,2014,Other opioids,T40.2,566,38802500,1.5
California,06,2014,2014,Methadone,T40.3,165,38802500,0.4
California,06,2014,2014,Other synthetic narcotics,T40.4,102,38802500,0.3
California,06,2014,2014,Other and unspecified narcotics,T40.6,47,38802500,0.1
California,06,2015,2015,Heroin,T40.1,285,39144818,0.7
California,06,2015,2015,Other opioids,T40.2,547,39144818,1.4
California,06,2015,2015,Methadone,T40.3,132,39144818,0.3
California,06,2015,2015,Other synthetic narcotics,T40.4,128,39144818,0.3
California,06,2015,2015,Other and unspecified narcotics,T40.6,68,39144818,0.2
California,06,2016,2016,Heroin,T40.1,294,39250017,0.7
California,06,2016,2016,Other opioids,T40.2,558,39250017,1.4
California,06,2016,2016,Methadone,T40.3,170,39250017,0.4
California,06,2016,2016,Other synthetic narcotics,T40.4,195,39250017,0.5
California,06,2016,2016,Other and unspecified narcotics,T40.6,73,39250017,0.2
California,06,2017,2017,Heroin,T40.1,359,39536653,0.9
California,06,2017,2017,Other opioids,T40.2,601,39536653,1.5
California,06,2017,2017,Methadone,T40.3,120,39536653,0.3
California,06,2017,2017,Other synthetic narcotics,T40.4,278,39536653,0.7
California,06,2017,2017,Other and unspecified narcotics,T40.6,66,39536653,0.2
California,06,2018,2018,Heroin,T40.1,450,39557045,1.1
California,06,2018,2018,Other opioids,T40.2,542,39557045,1.4
California,06,2018,2018,Methadone,T40.3,132,39557045,0.3
California,06,2018,2018,Other synthetic narcotics,T40.4,431,39557045,1.1
California,06,2018,2018,Other and unspecified narcotics,T40.6,62,39557045,0.2
Colorado,08,1999,1999,Other opioids,T40.2,16,4226018,Unreliable
Colorado,08,2000,2000,Other opioids,T40.2,26,4301261,0.6
Colorado,08,2000,2000,Methadone,T40.3,11,4301261,Unreliable
Colorado,08,2000,2000,Other synthetic narcotics,T40.4,16,4301261,Unreliable
Colorado,08,2001,2001,Other opioids,T40.2,48,4425687,1.1
Colorado,08,2001,2001,Methadone,T40.3,11,4425687,Unreliable
Colorado,08,2001,2001,Other synthetic narcotics,T40.4,10,4425687,Unreliable
Colorado,08,2001,2001,Other and unspecified narcotics,T40.6,14,4425687,Unreliable
Colorado,08,2002,2002,Other opioids,T40.2,35,4490406,0.8
Colorado,08,2002,2002,Methadone,T40.3,15,4490406,Unreliable
Colorado,08,2002,2002,Other synthetic narcotics,T40.4,13,4490406,Unreliable
Colorado,08,2002,2002,Other and unspecified narcotics,T40.6,10,4490406,Unreliable
Colorado,08,2003,2003,Other opioids,T40.2,28,4528732,0.6
Colorado,08,2003,2003,Methadone,T40.3,14,4528732,Unreliable
Colorado,08,2003,2003,Other synthetic narcotics,T40.4,10,4528732,Unreliable
Colorado,08,2003,2003,Other and unspecified narcotics,T40.6,18,4528732,Unreliable
Colorado,08,2004,2004,Other opioids,T40.2,34,4575013,0.7
Colorado,08,2004,2004,Methadone,T40.3,16,4575013,Unreliable
Colorado,08,2004,2004,Other and unspecified narcotics,T40.6,13,4575013,Unreliable
Colorado,08,2005,2005,Other opioids,T40.2,38,4631888,0.8
Colorado,08,2005,2005,Methadone,T40.3,17,4631888,Unreliable
Colorado,08,2005,2005,Other synthetic narcotics,T40.4,10,4631888,Unreliable
Colorado,08,2005,2005,Other and unspecified narcotics,T40.6,14,4631888,Unreliable
Colorado,08,2006,2006,Other opioids,T40.2,43,4720423,0.9
Colorado,08,2006,2006,Methadone,T40.3,17,4720423,Unreliable
Colorado,08,2006,2006,Other and unspecified narcotics,T40.6,13,4720423,Unreliable
Colorado,08,2007,2007,Other opioids,T40.2,73,4803868,1.5
Colorado,08,2007,2007,Methadone,T40.3,14,4803868,Unreliable
Colorado,08,2007,2007,Other synthetic narcotics,T40.4,17,4803868,Unreliable
Colorado,08,2007,2007,Other and unspecified narcotics,T40.6,18,4803868,Unreliable
Colorado,08,2008,2008,Other opioids,T40.2,61,4889730,1.2
Colorado,08,2008,2008,Methadone,T40.3,14,4889730,Unreliable
Colorado,08,2008,2008,Other synthetic narcotics,T40.4,14,4889730,Unreliable
Colorado,08,2008,2008,Other and unspecified narcotics,T40.6,27,4889730,0.6
Colorado,08,2009,2009,Heroin,T40.1,14,4972195,Unreliable
Colorado,08,2009,2009,Other opioids,T40.2,55,4972195,1.1
Colorado,08,2009,2009,Methadone,T40.3,14,4972195,Unreliable
Colorado,08,2009,2009,Other synthetic narcotics,T40.4,16,4972195,Unreliable
Colorado,08,2009,2009,Other and unspecified narcotics,T40.6,25,4972195,0.5
Colorado,08,2010,2010,Heroin,T40.1,10,5029196,Unreliable
Colorado,08,2010,2010,Other opioids,T40.2,48,5029196,1
Colorado,08,2010,2010,Methadone,T40.3,14,5029196,Unreliable
Colorado,08,2010,2010,Other synthetic narcotics,T40.4,15,5029196,Unreliable
Colorado,08,2010,2010,Other and unspecified narcotics,T40.6,11,5029196,Unreliable
Colorado,08,2011,2011,Heroin,T40.1,24,5116796,0.5
Colorado,08,2011,2011,Other opioids,T40.2,66,5116796,1.3
Colorado,08,2011,2011,Methadone,T40.3,11,5116796,Unreliable
Colorado,08,2011,2011,Other synthetic narcotics,T40.4,26,5116796,0.5
Colorado,08,2011,2011,Other and unspecified narcotics,T40.6,14,5116796,Unreliable
Colorado,08,2012,2012,Heroin,T40.1,27,5187582,0.5
Colorado,08,2012,2012,Other opioids,T40.2,64,5187582,1.2
Colorado,08,2012,2012,Methadone,T40.3,14,5187582,Unreliable
Colorado,08,2012,2012,Other synthetic narcotics,T40.4,13,5187582,Unreliable
Colorado,08,2012,2012,Other and unspecified narcotics,T40.6,12,5187582,Unreliable
Colorado,08,2013,2013,Heroin,T40.1,32,5268367,0.6
Colorado,08,2013,2013,Other opioids,T40.2,80,5268367,1.5
Colorado,08,2013,2013,Methadone,T40.3,10,5268367,Unreliable
Colorado,08,2013,2013,Other synthetic narcotics,T40.4,26,5268367,0.5
Colorado,08,2013,2013,Other and unspecified narcotics,T40.6,10,5268367,Unreliable
Colorado,08,2014,2014,Heroin,T40.1,45,5355866,0.8
Colorado,08,2014,2014,Other opioids,T40.2,106,5355866,2
Colorado,08,2014,2014,Methadone,T40.3,23,5355866,0.4
Colorado,08,2014,2014,Other synthetic narcotics,T40.4,28,5355866,0.5
Colorado,08,2014,2014,Other and unspecified narcotics,T40.6,15,5355866,Unreliable
Colorado,08,2015,2015,Heroin,T40.1,43,5456574,0.8
Colorado,08,2015,2015,Other opioids,T40.2,116,5456574,2.1
Colorado,08,2015,2015,Methadone,T40.3,11,5456574,Unreliable
Colorado,08,2015,2015,Other synthetic narcotics,T40.4,22,5456574,0.4
Colorado,08,2016,2016,Heroin,T40.1,103,5540545,1.9
Colorado,08,2016,2016,Other opioids,T40.2,109,5540545,2
Colorado,08,2016,2016,Methadone,T40.3,28,5540545,0.5
Colorado,08,2016,2016,Other synthetic narcotics,T40.4,32,5540545,0.6
Colorado,08,2016,2016,Other and unspecified narcotics,T40.6,11,5540545,Unreliable
Colorado,08,2017,2017,Heroin,T40.1,122,5607154,2.2
Colorado,08,2017,2017,Other opioids,T40.2,133,5607154,2.4
Colorado,08,2017,2017,Methadone,T40.3,31,5607154,0.6
Colorado,08,2017,2017,Other synthetic narcotics,T40.4,57,5607154,1
Colorado,08,2017,2017,Other and unspecified narcotics,T40.6,10,5607154,Unreliable
Colorado,08,2018,2018,Heroin,T40.1,126,5695564,2.2
